timestep,temp,power_limit,reward,slope_3s,power_draw,eta,fan,util
227,71.0,266.0,0.7623772621154785,0.0,258.6,0.9721804511278196,90.0,100.0
228,71.0,268.0,0.769770622253418,0.0,258.01,0.9627238805970149,90.0,100.0
229,71.0,270.0,0.7775585651397705,0.0,257.25,0.9527777777777777,90.0,100.0
230,70.0,269.0,0.9673342704772949,-0.24091262622082413,259.61,0.965092936802974,90.0,100.0
231,71.0,268.0,0.771808922290802,0.0,256.28,0.9562686567164178,90.0,100.0
232,71.0,268.0,0.7713208794593811,0.24096832139695884,258.28,0.963731343283582,90.0,100.0
233,66.0,269.0,0.25967681407928467,-1.1889587358605238,259.53,0.9647955390334572,90.0,100.0
234,71.0,269.0,0.776152491569519,0.0,257.55,0.9574349442379183,90.0,100.0
235,71.0,269.0,0.7763596177101135,1.1808366079889152,257.84,0.9585130111524163,90.0,100.0
236,70.0,268.0,0.9627413749694824,-0.24010615655343837,259.53,0.9683955223880596,90.0,100.0
237,71.0,268.0,0.7706752419471741,0.0,256.69,0.9577985074626866,90.0,100.0
238,71.0,270.0,0.7789024114608765,0.24003534913884547,258.65,0.9579629629629629,90.0,100.0
239,67.0,270.0,0.25319424271583557,-0.959306202457718,260.81,0.965962962962963,90.0,100.0
240,71.0,269.0,0.7764071822166443,0.0,257.98,0.9590334572490707,90.0,100.0
241,71.0,270.0,0.7802064418792725,0.9592543698628422,257.63,0.9541851851851851,90.0,100.0
242,71.0,269.0,0.7753564715385437,0.0,261.43,0.9718587360594796,90.0,100.0
243,71.0,268.0,0.772143542766571,0.0,259.05,0.9666044776119403,90.0,100.0
244,71.0,268.0,0.7712944149971008,0.0,257.69,0.9615298507462686,90.0,100.0
245,71.0,269.0,0.7740165591239929,0.0,256.8,0.9546468401486989,90.0,100.0
246,71.0,268.0,0.7718337178230286,0.0,258.02,0.9627611940298507,90.0,100.0
247,72.0,269.0,0.5813849568367004,0.24194262268367833,258.94,0.9626022304832713,90.0,100.0
248,71.0,269.0,0.7763822078704834,0.0,258.03,0.9592193308550185,90.0,100.0
249,71.0,270.0,0.7807658910751343,-0.24050528826718579,257.42,0.9534074074074075,90.0,100.0
250,72.0,270.0,0.5857475399971008,0.24186206684585307,257.28,0.9528888888888888,90.0,100.0
251,71.0,270.0,0.780453622341156,0.0,258.38,0.9569629629629629,90.0,100.0
252,71.0,270.0,0.7805560827255249,-0.242058486071421,260.19,0.9636666666666667,90.0,100.0
253,72.0,270.0,0.5859276056289673,0.23911608940241216,257.94,0.9553333333333334,90.0,100.0
254,71.0,271.0,0.7831040024757385,0.0,258.23,0.9528782287822879,90.0,100.0
255,71.0,272.0,0.7868584394454956,-0.24171078260267223,259.18,0.9528676470588235,90.0,100.0
256,71.0,269.0,0.7752503752708435,0.0,256.61,0.9539405204460967,90.0,100.0
257,71.0,267.0,0.7678022384643555,0.0,258.37,0.9676779026217228,90.0,100.0
258,68.0,267.0,-1.0,-0.6083293895347952,260.39,0.9752434456928838,90.0,100.0
259,71.0,266.0,0.7614704966545105,0.0,256.9,0.9657894736842104,90.0,100.0
260,71.0,267.0,0.7646113038063049,0.7205485529888915,258.78,0.9692134831460674,90.0,100.0
261,72.0,268.0,0.5771564841270447,0.24045835355639877,259.95,0.9699626865671641,90.0,100.0
262,71.0,269.0,0.7733396291732788,0.0,257.31,0.956542750929368,90.0,100.0
263,71.0,268.0,0.7710614204406738,-0.24131061403807036,257.0,0.9589552238805971,90.0,100.0
264,72.0,268.0,0.5760288238525391,0.2404865618235014,259.22,0.9672388059701493,90.0,100.0
265,71.0,268.0,0.7683197259902954,0.0,258.92,0.9661194029850747,90.0,100.0
266,71.0,267.0,0.7663708925247192,-0.24086081573886653,258.62,0.9686142322097379,90.0,100.0
267,71.0,266.0,0.7633760571479797,0.0,256.2,0.9631578947368421,90.0,100.0
268,68.0,266.0,-1.0,-0.7218989695814099,260.35,0.9787593984962407,90.0,100.0
269,71.0,266.0,0.7593029737472534,0.0,258.57,0.9720676691729323,90.0,100.0
270,71.0,266.0,0.7610325813293457,0.7242485616805309,258.4,0.9714285714285713,90.0,100.0
271,72.0,267.0,0.5731741786003113,0.2407135577967089,256.79,0.9617602996254683,90.0,100.0
272,72.0,268.0,0.5764445066452026,0.24014077160786812,258.92,0.9661194029850747,90.0,100.0
273,71.0,266.0,0.7595134973526001,-0.23982609808405186,258.54,0.9719548872180452,90.0,100.0
274,72.0,267.0,0.5739816427230835,0.0,260.44,0.9754307116104869,90.0,100.0
275,71.0,266.0,0.7608757615089417,0.0,256.78,0.9653383458646616,90.0,100.0
276,71.0,266.0,0.759620726108551,-0.2413971380570113,257.74,0.9689473684210527,90.0,100.0
277,72.0,266.0,0.569838285446167,0.24109659846208303,258.15,0.9704887218045112,90.0,100.0
278,71.0,266.0,0.7619811296463013,0.0,260.13,0.9779323308270677,90.0,100.0
279,72.0,267.0,0.5750445127487183,0.0,256.53,0.9607865168539325,90.0,100.0
280,72.0,266.0,0.5711007118225098,0.24191613685739338,259.05,0.9738721804511279,90.0,100.0
281,72.0,266.0,0.5723893046379089,0.0,259.63,0.9760526315789474,90.0,100.0
282,72.0,266.0,0.5721840262413025,0.0,257.26,0.9671428571428571,90.0,100.0
283,72.0,267.0,0.573219895362854,0.0,257.7,0.9651685393258427,90.0,100.0
284,72.0,268.0,0.5787472724914551,0.0,259.52,0.9683582089552238,90.0,100.0
285,72.0,269.0,0.5807473063468933,0.0,257.55,0.9574349442379183,90.0,100.0
286,72.0,269.0,0.5815305709838867,0.0,258.67,0.9615985130111525,90.0,100.0
287,71.0,271.0,0.7822710275650024,-0.24174052551295824,257.59,0.9505166051660515,90.0,100.0
288,71.0,270.0,0.7779991030693054,-0.24152003094733368,260.2,0.9637037037037036,90.0,100.0
289,72.0,272.0,0.5914591550827026,0.24053898390369458,256.85,0.9443014705882353,90.0,100.0
290,72.0,271.0,0.5871363878250122,0.24109152628730324,258.25,0.9529520295202952,90.0,100.0
291,66.0,270.0,-1.0,-1.4391648645050488,260.63,0.9652962962962963,90.0,100.0
292,72.0,271.0,0.5877789258956909,0.0,257.98,0.9519557195571956,90.0,100.0
293,71.0,271.0,0.7824361324310303,1.1997414421357213,258.03,0.9521402214022139,90.0,100.0
294,72.0,270.0,0.58547043800354,0.0,259.82,0.9622962962962963,90.0,100.0
295,72.0,270.0,0.5831891894340515,0.24046605985015246,257.54,0.953851851851852,90.0,100.0
296,72.0,268.0,0.5785344839096069,0.0,259.13,0.9669029850746268,90.0,100.0
297,72.0,267.0,0.5754891037940979,0.0,258.96,0.9698876404494381,90.0,100.0
298,72.0,268.0,0.5790425539016724,0.0,261.33,0.9751119402985075,90.0,100.0
299,72.0,268.0,0.5776903033256531,0.0,258.13,0.9631716417910448,90.0,100.0
300,72.0,268.0,0.5766192674636841,0.0,258.21,0.9634701492537313,90.0,100.0
301,69.0,266.0,-1.0,-0.7223295005151004,260.19,0.9781578947368421,90.0,100.0
302,72.0,267.0,0.5728576183319092,0.0,258.36,0.9676404494382023,90.0,100.0
303,72.0,267.0,0.5748723149299622,0.7241481948021185,258.11,0.9667041198501873,90.0,100.0
304,72.0,266.0,0.5711104273796082,0.0,257.99,0.9698872180451128,90.0,100.0
305,72.0,265.0,0.5682940483093262,0.0,258.62,0.9759245283018868,90.0,100.0
